time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.11524693855679e-08,-1.2682012736774776e-08,10.003052428434307,6.283168282869715,6.282785907118573,0.0,1.4259611438674076e-05,-1.2869937655128967e-06,0.10174322802205903,-0.0008573922093503175,-0.025307529210038412,0.0,438.07740954069897,435.9684311034081,437.91658324984303,437.84527763502933
0.12000000000000001,1.38675873587128e-05,-4.968538458752641e-07,10.011152789761507,6.323374070049681e-05,6.281595833226145,0.0,0.0005783959369116531,-1.3137070748045185e-05,0.16826066030871153,0.005401554975025371,-0.010674034135858816,0.0,425.14188857915207,426.39362062728895,426.2876887820798,426.82206771267556
0.18,8.249546955303034e-05,1.1793886241289994e-06,10.023886998899838,0.0003328490663854211,6.281545147599754,0.0,0.0017387986666748555,9.88271081893003e-05,0.25619663656984687,0.0026127503998046907,0.01381642691109384,0.0,432.4412563635282,434.4989840131095,432.8388047267666,432.6040011844955
0.23999999999999996,0.00021749715157156612,1.451735999129756e-05,10.042176674896773,0.00043506214163624435,6.282212361126522,0.0,0.002684565880273285,0.00035898517149060327,0.35343361856866284,-0.0001799834567128817,0.0050938289650621065,0.0,435.8076001783466,435.07792316230785,436.8862477664652,436.6533365645822
0.3,0.00039743837932238146,4.5442973181095486e-05,10.067568898059378,0.00011936384302302372,6.28192213388078,0.0,0.0032854038060381825,0.0006571275755885539,0.4929234057010487,-0.018102085105176396,-0.04990653245323308,0.0,451.39343549835445,446.9335721072727,450.37211723367545,448.92052341515574
0.36000000000000004,0.0006381864476328799,8.425508217085198e-05,10.103535269491397,6.2830386289626095,6.279013171776747,0.0,0.005089614320505996,0.0005666645412584644,0.7058473259753516,0.014204825775902345,-0.04577800601407444,0.0,471.3658401708615,471.68343156518097,470.5379956454506,473.0320906814939
0.4200000000000001,0.0010499248296225601,0.00011915517875582891,10.150937991610274,0.0001447000974339474,6.276174913761153,0.0,0.008947324388091583,0.0006794411067613748,0.8741278888959118,-0.03048398979628384,-0.050545233286554345,0.0,457.9767875543347,457.5962216539131,461.15728880781353,457.6142076287325
0.48000000000000015,0.0017494913235507506,0.00015600105478275641,10.207277757205551,6.2817429511491145,6.273521214266921,0.0,0.014670789489693397,0.0003681450609612219,1.0037565708658598,-0.019408184625259436,-0.03390532122595051,0.0,445.93476274051466,447.2905985253648,446.9328910365947,447.8344210822734
0.5400000000000001,0.002847135540723762,0.0001421416526249637,10.271486650098165,6.280473760377891,6.271293733709127,0.0,0.02214276234403936,-0.0009596490754099163,1.1364144112469978,-0.02489356137030165,-0.04449645158542762,0.0,448.5748172918974,447.71337703778903,448.43686720172616,447.9911223189373
0.6000000000000002,0.004442530466842323,1.9896440440650416e-05,10.343645701506121,6.278619639622267,6.269391325592892,0.0,0.03127114888798661,-0.0032891663733736814,1.2687458616158032,-0.04698180205958278,-0.013921880323141815,0.0,447.01621580246723,449.49996577705645,449.3503196850427,447.5559285713337
0.6600000000000003,0.0066442859298257734,-0.0002962002879453674,10.425438611889245,6.275690571977728,6.268344165965409,0.0,0.04222459836484521,-0.0075767992715018535,1.457459539389843,-0.05276740920936968,-0.02566238586190836,0.0,465.7300445123073,464.81103068089436,466.56910652501114,466.1158715777248
0.7200000000000003,0.009457998381073114,-0.0009004410532921004,10.513749303118693,6.272577589576464,6.266518581367787,0.0,0.05171698343459488,-0.012851296468343125,1.4861880526443945,-0.05017112231286292,-0.04224345634210559,0.0,415.72203184299804,414.26628860745376,416.6019364815826,416.82693232830974
0.7800000000000004,0.012914007546651651,-0.0019015241753565955,10.605858952560082,6.269512532788479,6.263624369992044,0.0,0.06375288959934167,-0.020825392484647758,1.583994122964048,-0.05297544975572001,-0.06425670085468946,0.0,438.8175489884524,436.98492212042026,439.0949914698685,438.8606009781375
0.8400000000000004,0.017207163097577024,-0.0034805607905016088,10.706338275362993,6.266067251825961,6.259250156270543,0.0,0.07980230983643129,-0.03218054930022668,1.7650389079768511,-0.068254176942905,-0.10214518960632898,0.0,465.57146163553546,462.59324753639083,465.30451958182863,464.1047722616279
0.9000000000000005,0.022540529344969557,-0.005800519205892678,10.816372699585639,6.2623380175603245,6.2539189055925775,0.0,0.09857833436940579,-0.04556555737042473,1.9025316332486844,-0.05212602617904625,-0.07058680881216461,0.0,450.52089018778213,453.0581999680611,451.0960655212312,452.393663014379
0.9600000000000005,0.029150276882188974,-0.009030471403241595,10.936011298859855,6.258861577349368,6.250214621358378,0.0,0.12218556266866581,-0.0624652458277707,2.0850828199294673,-0.07330000652828628,-0.04821746024496759,0.0,464.9817230975481,466.7280133997643,466.87969920525273,465.22252550416147
1.0200000000000005,0.03711233217821004,-0.013251623067319066,11.062279341142093,6.2544532891993825,6.247338639994549,0.0,0.1434816046594309,-0.0786468852586823,2.1237585967150094,-0.07381642200022821,-0.04737031911786795,0.0,422.0274298314918,422.09900850002623,421.0086011828399,420.9593892931127
1.0800000000000005,0.046533951847285135,-0.01863111233072561,11.19439664821399,6.249639047073172,6.2450244517793045,0.0,0.1708408397379348,-0.10116456133335325,2.279824348778689,-0.09790426250159502,-0.025104165151223646,0.0,458.55239289401663,460.31690369293796,459.3094081478258,457.38989817591676
1.1400000000000006,0.05765270671689147,-0.025482680095107547,11.336099574422567,6.244074512673649,6.243483024303027,0.0,0.19994034128207006,-0.12784422973366164,2.4432378783040303,-0.08402929840978084,-0.026889444516294325,0.0,461.7954243719925,461.6544879035089,461.3508657341002,462.4380431588903
